taxa_in_original_tree	species	total	rbcL	matK	rps16	ndhF	5.8S-ribosomal-RNA	contains-trnT-trnL-intergenic-spacer,-tRNA-Leu-(trnL),-trnL-trnF-intergenic-spacer,-and-tRNA-Phe-(trnF)
Gentianales	Erithalis diffusa	2	NA	NA	NA	NA	AF484167	AF483628
Gentianales	Erithalis vacciniifolia	2	NA	NA	NA	NA	AF484185	AF483644
Gentianales	Erithalis salmeoides	2	NA	NA	NA	NA	AF484183	AF483642
Gentianales	Erithalis quadrangularis	2	NA	NA	NA	NA	AF484182	AF483641
Gentianales	Erithalis odorifera	2	NA	NA	NA	NA	AF484180	AF483640
Gentianales	Robynsia glabrata	2	NA	NA	NA	NA	AJ617774	AJ620170
Gentianales	Lasianthus lanceolatus	2	NA	NA	AF004062	NA	NA	EU145554
Gentianales	Lasianthus batangensis	2	NA	NA	AY538439	NA	NA	AY538465
Gentianales	Lasianthus kilimandscharicus	2	NA	NA	AM117327	NA	NA	DQ662147
Gentianales	Lasianthus pedunculatus	2	NA	NA	EU145504	NA	NA	EU145555
Gentianales	Rondeletia amoena	2	NA	NA	AF243004	NA	NA	AF102474
Gentianales	Rondeletia hameliifolia	2	NA	NA	GQ852438	NA	NA	GQ852546
Gentianales	Ectadium latifolium	2	NA	NA	NA	NA	DQ916846	DQ916874
Gentianales	Coffea bridsoniae	2	NA	NA	NA	NA	DQ153585	DQ153822
Gentianales	Coffea pocsii	2	NA	NA	NA	NA	DQ153581	FJ493386
Gentianales	Leptactina delagoensis	2	JF265502	NA	NA	NA	NA	AM117370
Gentianales	Tamilnadia uliginosa	2	NA	NA	AF201023	NA	NA	AF201069
Gentianales	Gyrostipula comoriensis	2	AJ346979	NA	NA	NA	NA	AJ346925
Gentianales	Coprosma prisca	2	NA	NA	JF950849	NA	JF950749	NA
Gentianales	Coprosma hirtella	2	NA	NA	JF950831	NA	JF950730	NA
Gentianales	Coprosma cuneata	2	NA	NA	JF950826	NA	JF950726	NA
Gentianales	Coprosma inopinata	2	NA	NA	JF950836	NA	JF950736	NA
Gentianales	Coprosma quadrifida	2	NA	NA	JF950858	NA	AF257911	NA
Gentianales	Coprosma microcarpa	2	NA	NA	JF950843	NA	JF950742	NA
Gentianales	Coprosma huttoniana	2	NA	NA	JF950832	NA	JF950733	NA
Gentianales	Coprosma putida	2	NA	NA	JF950854	NA	JF950755	NA
Gentianales	Coprosma rigida	2	NA	NA	JF950861	NA	JF950759	NA
Gentianales	Coprosma fowerakeri	2	NA	NA	JF950830	NA	JF950729	NA
Gentianales	Coprosma rhamnoides	2	NA	NA	JF950860	NA	JF950758	NA
Gentianales	Coprosma acerosa	2	NA	NA	JF950821	NA	AY189123	NA
Gentianales	Coprosma propinqua	2	NA	NA	JF950853	NA	EU331108	NA
Gentianales	Coprosma obconica	2	NA	NA	JF950846	NA	JF950744	NA
Gentianales	Coprosma lanceolaris	2	NA	NA	JF950838	NA	JF950740	NA
Gentianales	Coprosma nadeandii	2	NA	NA	JF950867	NA	DQ501277	NA
Gentianales	Coprosma parviflora	2	NA	NA	JF950847	NA	JF950745	NA
Gentianales	Coprosma petriei	2	NA	NA	JF950848	NA	AY191804	NA
Gentianales	Coprosma nivalis	2	NA	NA	JF950845	NA	AY191803	NA
Gentianales	Coprosma rugosa	2	NA	NA	JF950862	NA	AY191805	NA
Gentianales	Coprosma linariifolia	2	NA	NA	JF950842	NA	JF950741	NA
Gentianales	Psychotria cupularis	2	NA	NA	AF410710	NA	NA	JN643440
Gentianales	Psychotria lucens	2	NA	NA	AF410733	NA	NA	JN643493
Gentianales	Psychotria globiceps	2	NA	NA	JN643141	NA	NA	JN643453
Gentianales	Psychotria bimbiensis	2	NA	NA	JN643122	NA	NA	JN643417
Gentianales	Psychotria auxopoda	2	NA	NA	AF410693	NA	NA	JN643668
Gentianales	Psychotria bifaria	2	NA	NA	JN643121	NA	NA	JN643416
Gentianales	Psychotria obovata	2	NA	NA	AF410739	NA	NA	JN643506
Gentianales	Psychotria turbinata	2	NA	NA	AF410760	NA	NA	JN643546
Gentianales	Psychotria cryptogrammata	2	NA	NA	JN643135	NA	NA	JN643438
Gentianales	Psychotria solfiana	2	NA	NA	JN643201	NA	NA	JN643537
Gentianales	Psychotria parvula	2	NA	NA	AF410741	NA	NA	JN643508
Gentianales	Psychotria schweinfurthii	2	NA	NA	AF410752	NA	NA	JN643532
Gentianales	Psychotria arborea	2	NA	NA	JN643117	NA	NA	JN643410
Gentianales	Psychotria chrysantha	2	NA	NA	AF410704	NA	NA	JN053651
Gentianales	Psychotria daphnoides	2	NA	NA	AF369858	NA	NA	JN643441
Gentianales	Psychotria tenuissima	2	NA	NA	JN643209	NA	NA	JN643544
Gentianales	Psychotria bakossiensis	2	NA	NA	JN643119	NA	NA	JN643414
Gentianales	Psychotria eminiana	2	NA	NA	AF410712	NA	NA	JN643445
Gentianales	Psychotria sarmentosa	2	NA	NA	AF410751	NA	NA	JN643530
Gentianales	Psychotria cinerea	2	NA	NA	JN643132	NA	NA	JN643434
Gentianales	Psychotria grandiflora	2	NA	NA	AF410716	NA	AY350670	NA
Gentianales	Psychotria fernandopoensis	2	NA	NA	JN643139	NA	NA	JN643450
Gentianales	Psychotria anetoclada	2	NA	NA	JN643115	NA	NA	JN053656
Gentianales	Psychotria butayei	2	NA	NA	JN643127	NA	NA	JN643426
Gentianales	Psychotria psychotrioides	2	NA	NA	JN053721	NA	NA	JN643512
Gentianales	Psychotria aubletiana	2	NA	NA	AF147546	NA	AF149363	NA
Gentianales	Psychotria iringensis	2	NA	NA	JN643149	NA	NA	JN643463
Gentianales	Psychotria officinalis	2	NA	NA	AF147571	NA	AF149397	NA
Gentianales	Psychotria brieyi	2	NA	NA	JN643126	NA	NA	JN643424
Gentianales	Psychotria alsophila	2	NA	NA	JN643113	NA	NA	JN643405
Gentianales	Psychotria coptosperma	2	NA	NA	AF410708	NA	NA	JN643436
Gentianales	Psychotria orophila	2	NA	NA	AF410740	NA	NA	JN643507
Gentianales	Psychotria subobliqua	2	NA	NA	JN643205	NA	NA	JN643540
Gentianales	Psychotria linearisepala	2	NA	NA	AF410731	NA	NA	JN643492
Gentianales	Psychotria albicaulis	2	NA	NA	AF410692	NA	NA	JN643404
Gentianales	Psychotria rubra	2	NA	NA	NA	NA	FJ980387	JN643524
Gentianales	Psychotria unicarinata	2	NA	NA	AF410761	NA	NA	JN643550
Gentianales	Psychotria iteophylla	2	NA	NA	AF410726	NA	NA	JN643465
Gentianales	Psychotria brownei	2	NA	NA	AF369855	NA	NA	JN643425
Gentianales	Psychotria confertiloba	2	NA	NA	AF369857	NA	NA	JN643435
Gentianales	Psychotria ingentifolia	2	NA	NA	JN643147	NA	NA	JN643461
Gentianales	Psychotria brevicaulis	2	NA	NA	JN643125	NA	NA	JN643423
Gentianales	Psychotria vogeliana	2	NA	NA	AF410764	NA	NA	JN643553
Gentianales	Psychotria faucicola	2	NA	NA	AF410714	NA	NA	JN643449
Gentianales	Psychotria leucopoda	2	NA	NA	AF410730	NA	NA	JN643491
Gentianales	Psychotria megistophylla	2	NA	NA	AF410734	NA	NA	JN643501
Gentianales	Psychotria heterosticta	2	NA	NA	JN643143	NA	NA	JN643456
Gentianales	Cryptostegia madagascariensis	2	NA	NA	NA	NA	DQ916844	DQ916873
Gentianales	Pterygocalyx volubilis	2	NA	NA	NA	NA	AJ410329	AJ315202
Gentianales	Scyphochlamys revoluta	2	NA	NA	NA	NA	AJ617776	AJ620176
Gentianales	Eustoma exaltatum	2	NA	NA	NA	NA	AY251698	AY251789
Gentianales	Chironia laxa	2	NA	NA	NA	NA	AY251691	AJ490198
Gentianales	Chironia baccifera	2	NA	NA	NA	NA	AY251690	AY251783
Gentianales	Sarcopygme pacifica	2	NA	NA	NA	NA	FJ907097	FJ907036
Gentianales	Cyclophyllum balansae	2	NA	NA	NA	NA	EU584290	EF205630
Gentianales	Cyclophyllum merrillianum	2	NA	NA	FJ150616	NA	NA	FJ150540
Gentianales	Cyclophyllum barbatum	2	NA	NA	NA	NA	AJ617760	AJ620135
Gentianales	Nauclea xanthoxylon	2	AJ346995	NA	NA	NA	NA	AJ346937
Gentianales	Paederia foetida	2	NA	NA	AF004065	NA	NA	AF152619
Gentianales	Neoleroya verdcourtii	2	NA	NA	NA	NA	AJ617764	AJ719192
Gentianales	Canthium carinatum	2	NA	NA	NA	NA	FN386377	FN386321
Gentianales	Canthium inerme	2	NA	NA	NA	NA	AJ315120	AJ620125
Gentianales	Canthium armatum	2	NA	NA	NA	NA	AJ315082	AJ620155
Gentianales	Peponidium marojejyense	2	NA	NA	NA	NA	EU584308	FN386361
Gentianales	Canthium oligocarpum	2	NA	NA	NA	NA	AJ617755	AJ620129
Gentianales	Pinarophyllon bullatum	2	NA	NA	GQ852431	NA	NA	GQ852456
Gentianales	Exostema ixoroides	2	NA	NA	AF242943	NA	Z95530	NA
Gentianales	Mycetia malayana	2	NA	NA	AF002771	NA	NA	AF152622
Gentianales	Amphistemon humbertii	2	NA	NA	GU475977	NA	NA	GU475981
Gentianales	Amphistemon rakotonasolianus	2	NA	NA	GU475978	NA	NA	GU475982
Gentianales	Bathysa gymnocarpa	2	NA	NA	FJ884634	NA	NA	FJ948368
Gentianales	Bathysa obovata	2	NA	NA	FJ884635	NA	NA	FJ948369
Gentianales	Arcytophyllum muticum	2	NA	NA	AF002754	NA	NA	AF333358
Gentianales	Rytigynia parvifolia	2	NA	NA	NA	NA	AJ874998	AJ874965
Gentianales	Rytigynia decussata	2	NA	NA	NA	NA	AJ874993	AJ874956
Gentianales	Rytigynia sambavensis	2	NA	NA	NA	NA	AJ875000	AJ874966
Gentianales	Rytigynia beniensis	2	NA	NA	NA	NA	AJ874991	AJ874954
Gentianales	Rytigynia adenodonta	2	NA	NA	NA	NA	AJ874990	AJ874953
Gentianales	Rytigynia bagshawei	2	NA	NA	NA	NA	AJ315101	AJ620171
Gentianales	Rytigynia celastroides	2	NA	NA	NA	NA	AJ874992	AJ874955
Gentianales	Rytigynia humbertii	2	NA	NA	NA	NA	FN386387	FN386356
Gentianales	Rytigynia seyrigii	2	NA	NA	NA	NA	AJ875001	AJ874967
Gentianales	Rytigynia umbellulata	2	NA	NA	NA	NA	AJ875004	AJ874970
Gentianales	Rytigynia eickii	2	NA	NA	NA	NA	AJ874994	AJ874957
Gentianales	Rytigynia xanthotricha	2	NA	NA	NA	NA	AJ875005	AJ874971
Gentianales	Corynanthe mayumbensis	2	AJ346976	NA	NA	NA	NA	AJ346921
Gentianales	Simira glaziovii	2	NA	NA	NA	NA	FJ985010	FJ948421
Gentianales	Simira corumbensis	2	NA	NA	NA	NA	FJ985009	FJ948420
Gentianales	Luculia intermedia	2	NA	NA	EU145473	NA	NA	EU145520
Gentianales	Astiella delicatula	2	NA	NA	GU475979	NA	NA	GU475983
Gentianales	Antirhea madagascariensis	2	NA	NA	GQ852367	NA	NA	GQ852460
Gentianales	Virectaria belingana	2	NA	NA	NA	NA	AM981281	AM982738
Gentianales	Virectaria angustifolia	2	NA	NA	NA	NA	AM981278	AM982735
Gentianales	Arachnothryx buddleioides	2	NA	NA	AF242960	NA	NA	GQ852461
Gentianales	Orphium frutescens	2	NA	NA	NA	NA	AY251693	AY251785
Gentianales	Pseudopeponidium asosa	2	NA	NA	NA	NA	EU584272	AJ620156
Gentianales	Pseudopeponidium ampijoroense	2	NA	NA	NA	NA	AJ617766	AJ719193
Gentianales	Urophyllum britannicum	2	NA	NA	AM900623	NA	HM042464	NA
Gentianales	Urophyllum ceylanicum	2	NA	NA	NA	NA	HM042465	HM042598
Gentianales	Kadua foggiana	2	NA	NA	NA	NA	AM939471	EU543114
Gentianales	Bullockia setiflora	2	JF265322	NA	NA	NA	NA	FN386369
Gentianales	Metagentiana rhodantha	2	NA	NA	NA	NA	Z48089	AY563390
Gentianales	Gentiana waltonii	2	NA	NA	NA	NA	DQ398628	DQ398708
Gentianales	Gentiana walujewii	2	NA	NA	NA	NA	DQ398647	DQ398718
Gentianales	Gentiana officinalis	2	NA	NA	NA	NA	DQ398639	DQ398697
Gentianales	Gentiana pyrenaica	2	NA	NA	NA	NA	Z48087	X77895
Gentianales	Gentiana ligustica	2	NA	NA	NA	NA	AY773250	X77886
Gentianales	Gentiana froelichii	2	NA	NA	NA	NA	Z71969	X77884
Gentianales	Gentiana dahurica	2	NA	NA	NA	NA	DQ398633	DQ398701
Gentianales	Gentiana olivieri	2	NA	NA	NA	NA	DQ398645	DQ398716
Gentianales	Gentiana kaufmanniana	2	NA	NA	NA	NA	DQ398649	DQ398720
Gentianales	Gentiana lhassica	2	NA	NA	NA	NA	DQ398629	DQ398698
Gentianales	Gentiana robusta	2	NA	NA	NA	NA	DQ398643	DQ398702
Gentianales	Gentiana boryi	2	NA	NA	NA	NA	Z48111	X77874
Gentianales	Gentiana dinarica	2	NA	NA	NA	NA	AJ223141	X77881
Gentianales	Gentiana oreodoxa	2	NA	NA	NA	NA	DQ398657	DQ398728
Gentianales	Gentiana futtereri	2	NA	NA	NA	NA	DQ398658	DQ398730
Gentianales	Schizomussaenda henryi	2	NA	NA	HM164224	HM164395	NA	NA
Gentianales	Stomatostemma monteiroae	2	NA	NA	NA	NA	AJ581693	AJ581832
Gentianales	Symbolanthus pulcherrimus	2	NA	NA	NA	NA	EU709803	AF102488
Gentianales	Symbolanthus frigidus	2	NA	NA	NA	NA	EU709802	AF102498
Gentianales	Exochaenium clavatum	2	NA	NA	NA	NA	FJ666018	FJ013969
Gentianales	Exochaenium teucszii	2	NA	NA	NA	NA	FJ666021	FJ013982
Gentianales	Exochaenium debile	2	NA	NA	NA	NA	FJ666019	FJ013967
Gentianales	Exochaenium grande	2	NA	NA	NA	NA	FJ666022	FJ014151
Gentianales	Exochaenium lineariforme	2	NA	NA	NA	NA	FJ666032	FJ013973
Gentianales	Exochaenium baumianum	2	NA	NA	NA	NA	FJ666023	FJ013968
Gentianales	Exochaenium fernandesianum	2	NA	NA	NA	NA	FJ666027	FJ013970
Gentianales	Gomphocalyx herniarioides	2	NA	NA	AY764291	NA	NA	EU567466
Gentianales	Aspidosperma cruentum	2	NA	NA	NA	NA	FJ037792	FJ039102
Gentianales	Aspidosperma marcgravianum	2	NA	NA	NA	NA	FJ037794	FJ039341
Gentianales	Anthocleista scandens	2	NA	NA	NA	NA	DQ449917	AF102376
Gentianales	Anthocleista amplexicaulis	2	NA	NA	NA	NA	AJ489863	AJ490189
Gentianales	Gymnanthera oblonga	2	NA	NA	NA	NA	DQ916850	EF456106
Gentianales	Frasera albomarginata	2	NA	NA	NA	NA	AJ318535	AJ315187
Gentianales	Frasera speciosa	2	NA	NA	NA	NA	GU251023	AJ315230
Gentianales	Exaculum pusillum	2	NA	NA	NA	NA	AY251681	AY251764
Gentianales	Breonia fragifera	2	FN376373	NA	NA	NA	NA	FN376377
Gentianales	Breonia macrocarpa	2	AJ346971	NA	NA	NA	NA	AJ346916
Gentianales	Breonia havilandiana	2	AJ346970	NA	NA	NA	NA	AJ346915
Gentianales	Breonia sphaerantha	2	FN376374	NA	NA	NA	NA	FN376378
Gentianales	Breonia perrieri	2	AJ346972	NA	NA	NA	NA	AJ346917
Gentianales	Thamnoldenlandia ambovombensis	2	NA	NA	GU475980	NA	NA	GU475984
Gentianales	Greenea corymbosa	2	NA	NA	AF242961	NA	NA	AF152657
Gentianales	Amphidasya longicalycina	2	NA	NA	AM900637	NA	HM042461	NA
Gentianales	Nertera dichondrifolia	2	NA	NA	AF257926	NA	AF257925	NA
Gentianales	Finlaysonia lanuginosa	2	NA	NA	NA	NA	DQ916849	DQ916876
Gentianales	Tricalysia cryptocalyx	2	NA	NA	AF004088	NA	NA	AM999486
Gentianales	Stelechantha cauliflora	2	NA	NA	HM042572	NA	NA	HM042595
Gentianales	Zeltnera muehlenbergii	2	NA	NA	NA	NA	AY047784	AY315707
Gentianales	Zeltnera venusta	2	NA	NA	NA	NA	AY047713	AY315714
Gentianales	Zeltnera wigginsii	2	NA	NA	NA	NA	AY047754	AF402172
Gentianales	Zeltnera stricta	2	NA	NA	NA	NA	AY047751	AY315713
Gentianales	Zeltnera namophila	2	NA	NA	NA	NA	AY047711	AF402144
Gentianales	Zeltnera breviflora	2	NA	NA	NA	NA	AY047736	AF402162
Gentianales	Zeltnera trichantha	2	NA	NA	NA	NA	AY047710	AF402143
Gentianales	Zeltnera glandulifera	2	NA	NA	NA	NA	AY047731	AF402159
Gentianales	Zeltnera maryanna	2	NA	NA	NA	NA	AY047730	AF402158
Gentianales	Zeltnera calycosa	2	NA	NA	NA	NA	AY047738	AF402165
Gentianales	Zeltnera arizonica	2	NA	NA	NA	NA	AY047725	AY318875
Gentianales	Zeltnera setacea	2	NA	NA	NA	NA	AY047747	AF402183
Gentianales	Zeltnera multicaulis	2	NA	NA	NA	NA	AY047728	AF402157
Gentianales	Zeltnera exaltata	2	NA	NA	NA	NA	AY047723	AF402154
Gentianales	Zeltnera nudicaulis	2	NA	NA	NA	NA	AY047745	AF402173
Gentianales	Zeltnera madrensis	2	NA	NA	NA	NA	AY047742	AF402166
Gentianales	Zeltnera nevadensis	2	NA	NA	NA	NA	AY423599	AF402149
Gentianales	Zeltnera pusilla	2	NA	NA	NA	NA	AY047756	AF402174
Gentianales	Zeltnera abramsii	2	NA	NA	NA	NA	AY047712	AF402145
Gentianales	Tacazzea apiculata	2	NA	NA	NA	NA	DQ916866	DQ221164
Gentianales	Hillia triflora	2	NA	NA	AM117315	NA	NA	GQ852513
Gentianales	Hillia illustris	2	NA	NA	GQ852401	NA	NA	GQ852565
Gentianales	Tocoyena williamsii	2	NA	NA	NA	NA	AF493496	AF201071
Gentianales	Gaertnera phyllostachya	2	NA	NA	NA	NA	AM945201	AM945341
Gentianales	Gaertnera phyllosepala	2	NA	NA	NA	NA	AM945200	AM945340
Gentianales	Gaertnera vaginata	2	NA	NA	EU872834	NA	EU872498	NA
Gentianales	Kohautia retrorsa	2	NA	NA	GU951650	NA	NA	GU951668
Gentianales	Kohautia ramosissima	2	NA	NA	GU951649	NA	NA	GU951667
Gentianales	Kohautia platyphylla	2	NA	NA	GU951648	NA	NA	GU951666
Gentianales	Pavetta batesiana	2	NA	NA	JN053701	NA	NA	JN053639
Gentianales	Pavetta bidentata	2	NA	NA	JN053706	NA	NA	JN053644
Gentianales	Pavetta rigida	2	NA	NA	JN053707	NA	NA	JN053645
Gentianales	Pavetta hookeriana	2	NA	NA	JN053703	NA	NA	JN053640
Gentianales	Pavetta lanceolata	2	JF265544	NA	NA	NA	NA	AM117377
Gentianales	Pavetta hispida	2	NA	NA	JN053700	NA	NA	JN053643
Gentianales	Squamellaria imberbis	2	NA	NA	AF003620	NA	NA	JN643557
Gentianales	Airosperma vanuense	2	NA	NA	FM204700	NA	NA	FM207108
Gentianales	Palicourea nitidella	2	NA	NA	JX155182	NA	NA	JX155044
Gentianales	Randia thurberi	2	JQ593869	NA	NA	NA	AF493478	NA
Gentianales	Guettarda speciosa	2	NA	NA	AF242964	NA	NA	AF152725
Gentianales	Peponidium horridum	2	NA	NA	NA	NA	AJ617765	FN386329
Gentianales	Chassalia catati	2	NA	NA	NA	NA	AM945218	AM945363
Gentianales	Exacum affine	2	NA	NA	NA	NA	AJ489878	AY251770
Gentianales	Poecilocalyx crystallinus	2	NA	NA	NA	NA	HM042478	HM042609
Gentianales	Potalia resinifera	2	NA	NA	NA	NA	DQ449922	AF102471
Gentianales	Macbrideina peruviana	2	NA	NA	FJ884660	NA	NA	AF152635
Gentianales	Spermacoce ocymifolia	2	NA	NA	NA	NA	AM939463	EU543108
Gentianales	Spermacoce prostrata	2	NA	NA	NA	NA	AM939541	EU543163
Gentianales	Spermacoce remota	2	NA	NA	NA	NA	FJ695467	EU543164
Gentianales	Tresanthera condamineoides	2	NA	NA	FJ884682	NA	NA	FJ948427
Gentianales	Macrocarpaea gattaca	2	NA	NA	NA	NA	DQ401414	EU528052
Gentianales	Macrocarpaea macrophylla	2	NA	NA	NA	NA	AY256385	AF102455
Gentianales	Macrocarpaea glabra	2	NA	NA	NA	NA	FJ232586	EU528060
Gentianales	Mastixiodendron pilosum	2	NA	NA	FJ884662	NA	NA	FJ948402
Gentianales	Oldenlandia nervosa	2	NA	NA	AF333382	NA	AM939518	NA
Gentianales	Oxyanthus speciosus	2	NA	NA	AM117330	NA	NA	AM117375
Gentianales	Mitreola petiolata	2	NA	NA	NA	NA	AF054635	AF102460
Gentianales	Elaeagia myriantha	2	NA	NA	AF242939	NA	NA	FJ948390
Gentianales	Elaeagia mariae	2	NA	NA	FJ884650	NA	NA	FJ948389
Gentianales	Elaeagia auriculata	2	NA	NA	FJ884649	NA	NA	FJ948388
Gentianales	Hedyotis rhinophylla	2	NA	NA	NA	NA	AM939459	EU543104
Gentianales	Hedyotis fruticosa	2	NA	NA	NA	NA	AM939453	EU543098
Gentianales	Hedyotis quinquenervia	2	NA	NA	NA	NA	AM939458	EU543103
Gentianales	Ochrosia elliptica	2	NA	NA	NA	NA	AB331876	AF214387
Gentianales	Xanthophytum borneense	2	NA	NA	EU145513	NA	NA	EU145567
Gentianales	Periploca graeca	2	NA	NA	NA	NA	AJ581682	AF102468
Gentianales	Centaurium pulchellum	2	NA	NA	NA	NA	AY047789	AY315698
Gentianales	Centaurium tenuiflorum	2	NA	NA	NA	NA	AY047772	AY880008
Gentianales	Centaurium maritimum	2	NA	NA	NA	NA	AY251673	DQ166317
Gentianales	Centaurium littorale	2	NA	NA	NA	NA	AY251672	AY879982
Gentianales	Centaurium scilloides	2	NA	NA	NA	NA	AY251675	JX124319
Gentianales	Logania albiflora	2	NA	NA	NA	NA	DQ358879	AF102451
Gentianales	Fadogia elskensii	2	NA	NA	NA	NA	AJ315118	AJ719191
Gentianales	Sabicea diversifolia	2	NA	NA	EU145494	NA	NA	AJ847396
Gentianales	Sabatia angularis	2	NA	NA	NA	NA	AJ011467	AF102476
Gentianales	Macrocnemum roseum	2	GQ981792	NA	NA	NA	NA	FJ948400
Gentianales	Rustia alba	2	NA	NA	FJ884671	NA	NA	FJ948412
Gentianales	Rustia rubra	2	NA	NA	AF243017	NA	NA	AF152630
Gentianales	Rustia viridiflora	2	NA	NA	FJ884675	NA	NA	FJ948417
Gentianales	Rustia thibaudioides	2	NA	NA	FM204731	NA	NA	FM207138
Gentianales	Rothmannia capensis	2	NA	NA	AM117340	NA	NA	AM117384
Gentianales	Trachelospermum jasminoides	2	NA	NA	NA	NA	JF708198	AF214439
Gentianales	Mussaenda kwangtungensis	2	JF942567	NA	NA	NA	JF977109	NA
Gentianales	Mussaenda hossei	2	JF942565	NA	NA	NA	JF977106	NA
Gentianales	Prismatomeris albidiflora	2	NA	NA	NA	NA	AM945205	AM945351
Gentianales	Gentianodes tianschanica	2	NA	NA	NA	NA	DQ398650	AB453067
Gentianales	Dolicholobium macgregorii	2	NA	NA	AF242937	NA	NA	FJ948385
Gentianales	Dolicholobium oblongifolium	2	NA	NA	AF242938	NA	NA	FJ948386
Gentianales	Coprosma crassifolia	2	NA	NA	JF950825	NA	AF257905	NA
Gentianales	Coprosma repens	2	NA	NA	JF950859	NA	GQ130334	NA
Gentianales	Psychotria amboniana	2	NA	NA	NA	NA	AM945215	AJ847409
Gentianales	Psychotria acuminata	2	NA	NA	AF149359	NA	AF149358	NA
Gentianales	Psychotria racemosa	2	NA	NA	AF147575	NA	AF149402	NA
Gentianales	Psychotria schliebenii	2	NA	NA	NA	NA	AM945216	AM945361
Gentianales	Psychotria tenuifolia	2	NA	NA	EU872843	NA	FJ208632	NA
Gentianales	Psychotria poeppigiana	2	NA	NA	AF147542	NA	AF149354	NA
Gentianales	Psychotria horizontalis	2	NA	NA	AF410722	NA	EF667971	NA
Gentianales	Psychotria deflexa	2	NA	NA	AF001349	NA	AF149377	NA
Gentianales	Gyrandra brachycalyx	2	NA	NA	NA	NA	AY047771	AF402185
Gentianales	Allenanthus erythrocarpus	2	JQ593611	NA	NA	NA	NA	GQ852452
Gentianales	Spigelia humboldtiana	2	NA	NA	NA	NA	JN005881	HQ412967
Gentianales	Hymenodictyon parvifolium	2	JF265480	NA	NA	NA	NA	FN376382
Gentianales	Exostema mexicanum	2	JQ593664	NA	NA	NA	Z95531	NA
Gentianales	Exostema caribaeum	2	JQ593660	NA	NA	NA	Z95517	NA
Gentianales	Bathysa veraguensis	2	NA	NA	AF242914	NA	NA	FJ948372
Gentianales	Bathysa bracteosa	2	NA	NA	FJ884632	NA	NA	FJ948366
Gentianales	Arcytophyllum thymifolium	2	NA	NA	AF333366	NA	NA	AF333367
Gentianales	Conostomium zoutpansbergense	2	NA	NA	NA	NA	AM939437	EU543087
Gentianales	Zygostelma benthamii	2	NA	NA	NA	NA	DQ916867	EF456109
Gentianales	Sericanthe odoratissima	2	NA	NA	JF916949	NA	NA	JF916970
Gentianales	Kadua acuminata	2	NA	NA	NA	NA	AM939467	EU543110
Gentianales	Gentiana decumbens	2	NA	NA	NA	NA	DQ398655	AB453070
Gentianales	Gentiana crassicaulis	2	NA	NA	NA	NA	JF778856	DQ398711
Gentianales	Gentiana parryi	2	NA	NA	NA	NA	Z48096	DQ398731
Gentianales	Gentiana alpina	2	NA	NA	NA	NA	AJ223128	X77868
Gentianales	Gentiana algida	2	NA	NA	NA	NA	Z48142	AJ490239
Gentianales	Gentiana occidentalis	2	NA	NA	NA	NA	AJ223105	X76229
Gentianales	Gentiana angustifolia	2	NA	NA	NA	NA	AJ223099	X75699
Gentianales	Gentiana rigescens	2	NA	NA	NA	NA	JF778857	AB453084
Gentianales	Gentiana phyllocalyx	2	NA	NA	NA	NA	AJ318537	AJ315189
Gentianales	Gentiana clusii	2	NA	NA	NA	NA	AJ223106	X77879
Gentianales	Gentiana siphonantha	2	NA	NA	NA	NA	DQ497573	AB453073
Gentianales	Gentiana manshurica	2	NA	NA	NA	NA	GQ434566	GQ864090
Gentianales	Borojoa panamensis	2	GQ981680	NA	NA	NA	AF183776	NA
Gentianales	Augusta longifolia	2	NA	NA	AF242913	NA	NA	AF152663
Gentianales	Anthocleista grandiflora	2	NA	NA	NA	NA	AJ489864	AJ490190
Gentianales	Swertia delavayi	2	NA	NA	NA	NA	AJ410340	AJ315213
Gentianales	Swertia engleri	2	NA	NA	NA	NA	AJ410341	AJ315214
Gentianales	Swertia japonica	2	NA	AJ406376	NA	NA	NA	AJ408017
Gentianales	Swertia racemosa	2	NA	AJ406379	NA	NA	NA	AJ408020
Gentianales	Swertia abyssinica	2	NA	AJ388261	NA	NA	NA	AJ408012
Gentianales	Swertia dichotoma	2	NA	AJ408028	NA	NA	NA	AJ408016
Gentianales	Swertia tashiroi	2	NA	NA	NA	NA	AJ410349	AJ315222
Gentianales	Swertia binchuanensis	2	NA	NA	NA	NA	AJ410332	AJ315205
Gentianales	Swertia ciliata	2	NA	NA	NA	NA	AJ410335	AJ315208
Gentianales	Swertia marginata	2	NA	AJ388262	NA	NA	NA	AF102486
Gentianales	Finlaysonia insularum	2	NA	NA	NA	NA	DQ916848	EF456105
Gentianales	Coelospermum balansanum	2	NA	NA	NA	NA	FJ907041	FJ906978
Gentianales	Multidentia concrescens	2	NA	NA	NA	NA	AJ315086	AJ620150
Gentianales	Zeltnera texensis	2	NA	NA	NA	NA	AY047735	AF402161
Gentianales	Zeltnera quitensis	2	NA	NA	NA	NA	AY315671	AY315711
Gentianales	Zeltnera martinii	2	NA	NA	NA	NA	AY047749	AF402170
Gentianales	Zeltnera beyrichii	2	NA	NA	NA	NA	AY047732	AF402160
Gentianales	Mitracarpus microspermus	2	NA	NA	EU543044	NA	AM939489	NA
Gentianales	Gaertnera vaginans	2	NA	NA	AF002737	NA	AF333841	NA
Gentianales	Pavetta indica	2	NA	NA	HM164217	NA	NA	HM164331
